Brand,Year,Month,Grouping4,Grouping1,Grouping0,Giver,Receiver,Adjusted_Volume,Margin Revenue
BRAND1,2022,2,CAMPAIGN13,DIGITAL,HALO,BRAND3,BRAND1,103.9882039,14556.57075
BRAND1,2022,2,CAMPAIGN138,TV,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN15,DIGITAL,HALO,BRAND8,BRAND1,18.57564842,2600.273207
BRAND1,2022,2,CAMPAIGN16,DIGITAL,HALO,BRAND9,BRAND1,690.5051148,96658.91113
BRAND1,2022,2,CAMPAIGN17,DIGITAL,HALO,BRAND6,BRAND1,255.642004,35785.51008
BRAND1,2022,2,CAMPAIGN19,DIGITAL,HALO,BRAND6,BRAND1,245.8691961,34417.48404
BRAND1,2022,2,CAMPAIGN2,TV,HALO,BRAND2,BRAND1,101.3098699,14181.64979
BRAND1,2022,2,CAMPAIGN24,DIGITAL,HALO,BRAND3,BRAND1,77.26205367,10815.36663
BRAND1,2022,2,CAMPAIGN26,DIGITAL,HALO,BRAND3,BRAND1,0.207124923,28.99394819
BRAND1,2022,2,CAMPAIGN28,DIGITAL,HALO,BRAND10,BRAND1,401.2763169,56171.82411
BRAND1,2022,2,CAMPAIGN29,DIGITAL,HALO,BRAND10,BRAND1,779.3105716,109090.1569
BRAND1,2022,2,CAMPAIGN3,DIGITAL,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN3,TV,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN31,DIGITAL,HALO,BRAND3,BRAND1,92.36838486,12929.99474
BRAND1,2022,2,CAMPAIGN32,DIGITAL,HALO,BRAND3,BRAND1,0.508597729,71.19498705
BRAND1,2022,2,CAMPAIGN33,DIGITAL,HALO,BRAND6,BRAND1,4693.26984,656977.541
BRAND1,2022,2,CAMPAIGN33,TV,HALO,BRAND6,BRAND1,4077.14006,570729.9052
BRAND1,2022,2,CAMPAIGN34,DIGITAL,HALO,BRAND3,BRAND1,67.08954082,9391.388744
BRAND1,2022,2,CAMPAIGN35,DIGITAL,HALO,BRAND10,BRAND1,2154.480038,301590.3721
BRAND1,2022,2,CAMPAIGN36,DIGITAL,HALO,BRAND10,BRAND1,342.9711659,48010.09976
BRAND1,2022,2,CAMPAIGN36,TV,HALO,BRAND10,BRAND1,6108.764908,855122.651
BRAND1,2022,2,CAMPAIGN37,DIGITAL,HALO,BRAND6,BRAND1,365.6834204,51189.4271
BRAND1,2022,2,CAMPAIGN38,DIGITAL,HALO,BRAND10,BRAND1,241.9872391,33874.07644
BRAND1,2022,2,CAMPAIGN7,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,2,CAMPAIGN8,DIGITAL,HALO,BRAND6,BRAND1,354.5508582,49631.05871
BRAND1,2022,2,CAMPAIGN80,DIGITAL,HALO,BRAND3,BRAND1,0.003478326,0.486906199
BRAND1,2022,2,CAMPAIGN9,DIGITAL,HALO,BRAND7,BRAND1,0,0
BRAND1,2022,2,PROMO,COLGATEOTHERPACK,PROMO,BRAND1,BRAND1,10932.1512,1530314.271
BRAND1,2022,2,PROMO,COLGATESACHET,PROMO,BRAND1,BRAND1,1507.19535,210981.5818
BRAND1,2022,2,PROMO,DISCOUNT,PROMO,BRAND1,BRAND1,2217.636669,310431.2206
BRAND1,2022,2,TRADE,LOCALTHEMATIC,TRADE,BRAND1,BRAND1,13190.73469,1846477.347
BRAND1,2022,2,TRADE,MINMAXDISPLAY,TRADE,BRAND1,BRAND1,24281.74555,3399029.254
BRAND1,2022,2,TRADE,NPILISTING,TRADE,BRAND1,BRAND1,0,0
BRAND1,2022,3,BASE,BASE,BASE,BRAND1,BRAND1,860973.6906,125311261.9
BRAND1,2022,3,CAMPAIGN1,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN1,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN10,DIGITAL,HALO,BRAND2,BRAND1,6.300718293,917.3807061
BRAND1,2022,3,CAMPAIGN10,DIGITAL,HALO,BRAND3,BRAND1,50.34317039,7329.934629
BRAND1,2022,3,CAMPAIGN10,DIGITAL,HALO,BRAND6,BRAND1,1497.621294,218052.7388
BRAND1,2022,3,CAMPAIGN10,DIGITAL,HALO,BRAND8,BRAND1,83.36555076,12137.97289
BRAND1,2022,3,CAMPAIGN10,DIGITAL,HALO,BRAND9,BRAND1,276.9268384,40320.37725
BRAND1,2022,3,CAMPAIGN10,DIGITAL,TARGET,BRAND1,BRAND1,3.847647608,560.2151239
BRAND1,2022,3,CAMPAIGN11,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN12,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN13,DIGITAL,HALO,BRAND3,BRAND1,251.0829563,36557.52392
BRAND1,2022,3,CAMPAIGN138,TV,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN139,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN14,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN15,DIGITAL,HALO,BRAND8,BRAND1,68.29366447,9943.515521
BRAND1,2022,3,CAMPAIGN16,DIGITAL,HALO,BRAND9,BRAND1,2961.1526,431141.9963
BRAND1,2022,3,CAMPAIGN17,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN17,DIGITAL,HALO,BRAND6,BRAND1,57.4359669,8362.641437
BRAND1,2022,3,CAMPAIGN18,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN19,DIGITAL,HALO,BRAND6,BRAND1,886.0787114,129012.5151
BRAND1,2022,3,CAMPAIGN2,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN2,TV,HALO,BRAND2,BRAND1,179.7825589,26176.22995
BRAND1,2022,3,CAMPAIGN20,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN21,DIGITAL,TARGET,BRAND1,BRAND1,1.90833E-05,0.002778511
BRAND1,2022,3,CAMPAIGN23,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN24,DIGITAL,HALO,BRAND3,BRAND1,363.3291432,52900.49966
BRAND1,2022,3,CAMPAIGN25,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN26,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN27,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN28,DIGITAL,HALO,BRAND10,BRAND1,397.1502288,57824.82891
BRAND1,2022,3,CAMPAIGN29,DIGITAL,HALO,BRAND10,BRAND1,1756.586613,255757.9298
BRAND1,2022,3,CAMPAIGN3,DIGITAL,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN3,TV,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN30,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN31,DIGITAL,HALO,BRAND3,BRAND1,429.7600103,62572.79303
BRAND1,2022,3,CAMPAIGN32,DIGITAL,HALO,BRAND3,BRAND1,279.0867397,40634.85756
BRAND1,2022,3,CAMPAIGN33,DIGITAL,HALO,BRAND6,BRAND1,1854.523052,270017.4151
BRAND1,2022,3,CAMPAIGN33,TV,HALO,BRAND6,BRAND1,5301.51563,771897.4133
BRAND1,2022,3,CAMPAIGN34,DIGITAL,HALO,BRAND3,BRAND1,13.98502727,2036.211365
BRAND1,2022,3,CAMPAIGN35,DIGITAL,HALO,BRAND10,BRAND1,5102.506157,742921.7566
BRAND1,2022,3,CAMPAIGN36,DIGITAL,HALO,BRAND10,BRAND1,786.0225145,114444.3944
BRAND1,2022,3,CAMPAIGN36,TV,HALO,BRAND10,BRAND1,6368.773278,927289.4701
BRAND1,2022,3,CAMPAIGN37,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN38,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN7,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN7,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN7,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN8,DIGITAL,HALO,BRAND6,BRAND1,965.4738859,140572.4037
BRAND1,2022,3,CAMPAIGN80,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,3,CAMPAIGN9,DIGITAL,HALO,BRAND7,BRAND1,0,0
BRAND1,2022,3,PROMO,COLGATEOTHERPACK,PROMO,BRAND1,BRAND1,14864.32646,2164236.785
BRAND1,2022,3,PROMO,COLGATESACHET,PROMO,BRAND1,BRAND1,1793.661027,261155.9417
BRAND1,2022,3,PROMO,DISCOUNT,PROMO,BRAND1,BRAND1,3567.221121,519385.2001
BRAND1,2022,3,TRADE,LOCALTHEMATIC,TRADE,BRAND1,BRAND1,26382.60388,3841290.89
BRAND1,2022,3,TRADE,MINMAXDISPLAY,TRADE,BRAND1,BRAND1,39508.83824,5752462.535
BRAND1,2022,3,TRADE,NPILISTING,TRADE,BRAND1,BRAND1,0,0
BRAND1,2022,4,BASE,BASE,BASE,BRAND1,BRAND1,792952.3429,94470839.08
BRAND1,2022,4,CAMPAIGN1,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN1,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN10,DIGITAL,HALO,BRAND2,BRAND1,15.56653018,1858.240103
BRAND1,2022,4,CAMPAIGN10,DIGITAL,HALO,BRAND3,BRAND1,96.93813137,11571.89953
BRAND1,2022,4,CAMPAIGN10,DIGITAL,HALO,BRAND6,BRAND1,4793.308787,572196.7909
BRAND1,2022,4,CAMPAIGN10,DIGITAL,HALO,BRAND8,BRAND1,254.289113,30355.52703
BRAND1,2022,4,CAMPAIGN10,DIGITAL,HALO,BRAND9,BRAND1,737.6491816,88056.18693
BRAND1,2022,4,CAMPAIGN10,DIGITAL,TARGET,BRAND1,BRAND1,3.27598943,391.0681999
BRAND1,2022,4,CAMPAIGN11,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN12,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN13,DIGITAL,HALO,BRAND3,BRAND1,813.2703854,97083.398
BRAND1,2022,4,CAMPAIGN137,DIGITAL,TARGET,BRAND1,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN138,TV,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN139,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN14,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN15,DIGITAL,HALO,BRAND8,BRAND1,191.5707334,22868.57863
BRAND1,2022,4,CAMPAIGN16,DIGITAL,HALO,BRAND9,BRAND1,8976.787906,1071595.731
BRAND1,2022,4,CAMPAIGN17,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN17,DIGITAL,HALO,BRAND6,BRAND1,316.6300076,37797.41351
BRAND1,2022,4,CAMPAIGN18,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN19,DIGITAL,HALO,BRAND6,BRAND1,954.7483883,113972.2034
BRAND1,2022,4,CAMPAIGN2,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN2,TV,HALO,BRAND2,BRAND1,402.0441033,47993.64196
BRAND1,2022,4,CAMPAIGN20,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN21,DIGITAL,TARGET,BRAND1,BRAND1,0.000119402,0.014253535
BRAND1,2022,4,CAMPAIGN22,DIGITAL,TARGET,BRAND1,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN23,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN24,DIGITAL,HALO,BRAND3,BRAND1,528.0071725,63030.36653
BRAND1,2022,4,CAMPAIGN25,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN26,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN27,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN28,DIGITAL,HALO,BRAND10,BRAND1,58.87931862,7028.664053
BRAND1,2022,4,CAMPAIGN29,DIGITAL,HALO,BRAND10,BRAND1,155.0230178,18505.72897
BRAND1,2022,4,CAMPAIGN3,DIGITAL,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN3,TV,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN30,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN31,DIGITAL,HALO,BRAND3,BRAND1,660.5452233,78851.97342
BRAND1,2022,4,CAMPAIGN32,DIGITAL,HALO,BRAND3,BRAND1,482.5742203,57606.84999
BRAND1,2022,4,CAMPAIGN33,DIGITAL,HALO,BRAND6,BRAND1,2356.721664,281331.4629
BRAND1,2022,4,CAMPAIGN33,TV,HALO,BRAND6,BRAND1,9285.205959,1108412.85
BRAND1,2022,4,CAMPAIGN34,DIGITAL,HALO,BRAND3,BRAND1,1063.428931,126945.8424
BRAND1,2022,4,CAMPAIGN35,DIGITAL,HALO,BRAND10,BRAND1,564.7775213,67419.79281
BRAND1,2022,4,CAMPAIGN36,DIGITAL,HALO,BRAND10,BRAND1,127.4209084,15210.75277
BRAND1,2022,4,CAMPAIGN36,TV,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN37,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN38,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN7,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN7,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN7,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN8,DIGITAL,HALO,BRAND6,BRAND1,1525.065512,182053.2811
BRAND1,2022,4,CAMPAIGN80,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,4,CAMPAIGN81,TV,HALO,BRAND3,BRAND1,4984.912765,595069.3382
BRAND1,2022,4,CAMPAIGN9,DIGITAL,HALO,BRAND7,BRAND1,0,0
BRAND1,2022,4,PROMO,COLGATEOTHERPACK,PROMO,BRAND1,BRAND1,15866.67245,1894069.308
BRAND1,2022,4,PROMO,COLGATESACHET,PROMO,BRAND1,BRAND1,1584.248408,189118.1844
BRAND1,2022,4,PROMO,DISCOUNT,PROMO,BRAND1,BRAND1,1688.298827,201539.1067
BRAND1,2022,4,TRADE,LOCALTHEMATIC,TRADE,BRAND1,BRAND1,23561.04543,2812577.947
BRAND1,2022,4,TRADE,MINMAXDISPLAY,TRADE,BRAND1,BRAND1,37985.95477,4534538.121
BRAND1,2022,4,TRADE,NPILISTING,TRADE,BRAND1,BRAND1,11.36414779,1356.584603
BRAND1,2022,5,BASE,BASE,BASE,BRAND1,BRAND1,664090.9269,103442358.4
BRAND1,2022,5,CAMPAIGN1,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN1,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN10,DIGITAL,HALO,BRAND2,BRAND1,4.016414938,625.5659117
BRAND1,2022,5,CAMPAIGN10,DIGITAL,HALO,BRAND3,BRAND1,39.95414191,6222.949967
BRAND1,2022,5,CAMPAIGN10,DIGITAL,HALO,BRAND6,BRAND1,4377.975369,681879.7846
BRAND1,2022,5,CAMPAIGN10,DIGITAL,HALO,BRAND8,BRAND1,183.6472612,28603.48548
BRAND1,2022,5,CAMPAIGN10,DIGITAL,HALO,BRAND9,BRAND1,439.7698369,68495.16875
BRAND1,2022,5,CAMPAIGN10,DIGITAL,TARGET,BRAND1,BRAND1,0.389221345,60.62212421
BRAND1,2022,5,CAMPAIGN11,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN12,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN13,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN137,DIGITAL,TARGET,BRAND1,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN138,TV,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN139,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN14,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN15,DIGITAL,HALO,BRAND8,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN16,DIGITAL,HALO,BRAND9,BRAND1,1108.378605,172632.53
BRAND1,2022,5,CAMPAIGN17,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN17,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN18,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN19,DIGITAL,HALO,BRAND6,BRAND1,702.8692964,109473.5178
BRAND1,2022,5,CAMPAIGN2,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN2,TV,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN20,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN21,DIGITAL,TARGET,BRAND1,BRAND1,5.42027E-05,0.008442191
BRAND1,2022,5,CAMPAIGN22,DIGITAL,TARGET,BRAND1,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN23,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN24,DIGITAL,HALO,BRAND3,BRAND1,399.4993467,62222.9468
BRAND1,2022,5,CAMPAIGN25,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN26,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN27,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN28,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN29,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN3,DIGITAL,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN3,TV,HALO,BRAND5,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN30,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN31,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN32,DIGITAL,HALO,BRAND3,BRAND1,114.0591404,17764.9748
BRAND1,2022,5,CAMPAIGN33,DIGITAL,HALO,BRAND6,BRAND1,2841.736506,442607.0302
BRAND1,2022,5,CAMPAIGN33,TV,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN34,DIGITAL,HALO,BRAND3,BRAND1,2177.181282,339101.0178
BRAND1,2022,5,CAMPAIGN35,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN36,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN36,TV,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN37,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN38,DIGITAL,HALO,BRAND10,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN39,DIGITAL,HALO,BRAND3,BRAND1,1247.204668,194255.0102
BRAND1,2022,5,CAMPAIGN7,DIGITAL,HALO,BRAND2,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN7,DIGITAL,HALO,BRAND3,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN7,DIGITAL,HALO,BRAND6,BRAND1,0,0
BRAND1,2022,5,CAMPAIGN8,DIGITAL,HALO,BRAND6,BRAND1,967.185592,150641.3919
BRAND1,2022,5,CAMPAIGN80,DIGITAL,HALO,BRAND3,BRAND1,0,0
